time,flow
2011-01-03,22.5612678074298
2011-01-04,22.540321652305
2011-01-05,23.0856644522354
2011-01-06,23.5295507598569
2011-01-07,23.5306081465706
2011-01-08,23.227944669314
2011-01-09,23.0579350975171
2011-01-10,22.3333068888094
2011-01-11,21.7529819974272
2011-01-12,22.1032696324818
2011-01-13,23.6886433145133
2011-01-14,24.1123299990887
2011-01-15,24.1009848377046
2011-01-16,24.3363269643947
2011-01-17,28.1785605315719
2011-01-18,31.1709240665534
2011-01-19,30.7127135704204
2011-01-20,32.2499041561456
2011-01-21,37.0761464173735
2011-01-22,55.923734519947
2011-01-23,61.2169764434552
2011-01-24,62.091582065129
2011-01-25,60.8290480952017
2011-01-26,55.8013627125435
2011-01-27,36.3670967650588
2011-01-28,46.0772011343481
2011-01-29,45.1473651140426
