time,flow,temp,salt
1981-03-23,3.79418,17.26713,0
1981-03-24,5.35354,17.013,0
1981-03-25,16.25401,17.0256,0
1981-03-26,18.21011,16.91413,0
1981-03-27,3.7515,15.8031,0
1981-03-28,0.97429,14.0363,0
1981-03-29,0.04018,12.4684,0
1981-03-30,0.01256,12.2192,0
1981-03-31,0.00458,12.86333,0
1981-04-01,0.46233,13.85957,0
1981-04-02,1.09674,14.6049,0
1981-04-03,0.22391,14.53617,0
1981-04-04,0.48099,14.37573,0
1981-04-05,0.36904,14.1109,0
1981-04-06,0.00207,14.12203,0
1981-04-07,0,13.9827,0
1981-04-08,0.1472,13.91217,0
1981-04-09,0.29647,14.38423,0
1981-04-10,4.21698,14.78593,0
1981-04-11,65.88976,14.8302,0
1981-04-12,80.52273,14.2709,0
1981-04-13,39.29419,14.18467,0
1981-04-14,14.37586,14.84707,0
1981-04-15,8.65994,15.2994,0
1981-04-16,2.55009,15.2408,0
1981-04-17,0.91223,14.37617,0
1981-04-18,0.01451,13.71583,0
1981-04-19,0.00207,12.86277,0
1981-04-20,1.14236,12.65307,0
1981-04-21,0.95784,12.47743,0
1981-04-22,0.6199,12.7247,0
1981-04-23,1.60677,12.71597,0
1981-04-24,1.04284,12.86217,0
1981-04-25,0.18037,12.34817,0
1981-04-26,0.02488,11.85083,0
1981-04-27,0.25916,11.2038,0
1981-04-28,0.74844,11.57377,0
1981-04-29,3.30475,12.29137,0
1981-04-30,0.29356,12.62783,0
1981-05-01,0.02142,12.02423,0
1981-05-02,0.00126,10.88883,0
1981-05-03,0,10.517,0
1981-05-04,0,10.76223,0
1981-05-05,0.00252,11.16233,0
1981-05-06,3.79488,11.67213,0
1981-05-07,25.05603,12.4944,0
1981-05-08,20.3616,13.55693,0
1981-05-09,7.61118,14.1746,0
1981-05-10,5.79689,13.7981,0
1981-05-11,0.72823,12.50263,0
1981-05-12,4.12372,10.28884,0
1981-05-13,0.29104,8.35443,0
1981-05-14,0.22679,7.46765,0
1981-05-15,0.19403,7.7772,0
1981-05-16,0.00378,8.06802,0
1981-05-17,0.05418,8.55206,0
1981-05-18,0.55814,9.24054,0
1981-05-19,22.82471,10.2412,0
1981-05-20,12.60928,10.8943,0
1981-05-21,5.38112,10.76183,0
1981-05-22,0.0126,10.11179,0
1981-05-23,0.02268,8.8084,0
1981-05-24,0.01134,7.91338,0
1981-05-25,0.00126,7.70533,0
1981-05-26,0.00504,8.02633,0
1981-05-27,0.01008,8.4983,0
1981-05-28,0.00756,8.54732,0
1981-05-29,0.00378,7.8824,0
1981-05-30,0.00252,7.44059,0
1981-05-31,6.04139,8.56383,0
1981-06-01,4.07619,10.74461,0
1981-06-02,19.79371,13.0858,0
1981-06-03,16.61278,13.60117,0
1981-06-04,6.51369,12.92393,0
1981-06-05,15.0583,10.88422,0
1981-06-06,24.51876,10.24155,0
1981-06-07,8.18525,10.06045,0
